Rk,Player,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,01-Mar,PPA,CrsPA,Prog,,
30,Alessandro Bastoni,DF,it Italy,21,1999,1,78,83,94,1560,405,26,26,100,37,38,97.4,12,15,80,0,0.4,-0.4,3,3,1,1,4,,
31,Michy Batshuayi,MF,be Belgium,27,1993,0.2,11,12,91.7,139,26,6,6,100,4,4,100,0,0,,0,0,0,0,0,0,0,0,,
32,Julian Baumgartlinger,MF,at Austria,33,1988,0,2,2,100,31,4,1,1,100,1,1,100,0,0,,0,0,0,0,0,0,0,0,,
33,Christoph Baumgartner,FW,at Austria,21,1999,2.7,69,91,75.8,953,188,47,55,85.5,17,22,77.3,3,6,50,0,0.1,-0.1,1,4,0,0,4,,
34,Jan Bednarek,DF,pl Poland,24,1996,2.9,145,158,91.8,3498,734,30,33,90.9,74,77,96.1,39,45,86.7,0,0,0,0,12,0,0,11,,
35,Egzon Bejtulai,DFMF,mk N. Macedonia,27,1994,0.3,6,10,60,126,63,1,2,50,3,5,60,1,2,50,0,0,0,0,0,0,0,0,,
36,Jude Bellingham,MF,eng England,17,2003,0.6,18,22,81.8,320,35,9,10,90,7,8,87.5,2,2,100,0,0,0,0,0,0,0,0,,
37,Andrea Belotti,FW,it Italy,27,1993,2.4,22,33,66.7,331,34,13,16,81.3,5,9,55.6,2,3,66.7,0,0,0,1,0,1,0,2,,
38,László Bénes,MF,sk Slovakia,23,1997,0.2,13,15,86.7,247,49,4,4,100,8,9,88.9,1,2,50,0,0,0,1,1,0,0,0,,
39,Pierre Bengtsson,DFMF,se Sweden,32,1988,0.5,9,17,52.9,207,115,3,4,75,3,6,50,2,6,33.3,0,0,0,0,1,0,0,1,,
40,Loris Benito,DF,ch Switzerland,29,1992,0.1,3,6,50,31,19,2,3,66.7,1,1,100,0,0,,0,0,0,0,0,0,0,0,,
41,Christian Benteke,FW,be Belgium,30,1990,0.1,4,5,80,50,0,2,3,66.7,0,0,,1,1,100,0,0,0,0,0,0,0,0,,
42,Karim Benzema,FW,fr France,33,1987,3.8,121,139,87.1,1797,384,80,86,93,36,42,85.7,5,5,100,0,0.2,-0.2,3,9,1,0,9,,
43,Domenico Berardi,FW,it Italy,26,1994,4.2,103,138,74.6,1725,403,58,71,81.7,30,35,85.7,14,22,63.6,1,1.1,-0.1,10,2,6,2,11,,
44,Bartosz Bereszyński,DF,pl Poland,28,1992,3,166,206,80.6,3197,1279,59,70,84.3,87,99,87.9,18,32,56.3,0,0,0,0,20,6,2,19,,
45,Marcus Berg,FW,se Sweden,34,1986,2,25,42,59.5,310,81,19,28,67.9,4,8,50,1,2,50,0,0.2,-0.2,1,1,1,0,3,,
46,Steven Berghuis,DFFW,nl Netherlands,29,1991,0.6,22,37,59.5,398,154,11,15,73.3,9,11,81.8,2,8,25,0,0.1,-0.1,2,2,1,0,5,,
47,Federico Bernardeschi,FW,it Italy,26,1994,1.4,32,51,62.7,417,125,24,25,96,7,14,50,1,8,12.5,0,0.4,-0.4,4,1,3,0,3,,
48,Artem Besyedin,FWDF,ua Ukraine,24,1996,0.4,8,10,80,145,25,5,6,83.3,2,3,66.7,1,1,100,0,0,0,1,0,0,0,1,,
49,Roman Bezus,MF,ua Ukraine,30,1990,0,1,1,100,18,0,0,0,,1,1,100,0,0,,0,0,0,0,0,0,0,0,,
50,Daley Blind,DF,nl Netherlands,30,1990,3.3,278,309,90,5260,2797,106,108,98.1,141,151,93.4,28,44,63.6,0,0.6,-0.6,2,44,7,1,45,,
51,Nicolai Boilesen,DF,dk Denmark,28,1992,0.2,4,5,80,56,19,3,4,75,1,1,100,0,0,,0,0,0,0,0,0,0,0,,
52,Leonardo Bonucci,DF,it Italy,33,1987,7.5,419,476,88,10159,3611,86,88,97.7,216,225,96,109,153,71.2,0,0.4,-0.4,2,31,1,0,23,,
53,Jan Bořil,DF,cz Czech Republic,30,1991,4,146,188,77.7,2550,1088,76,82,92.7,51,64,79.7,17,39,43.6,0,0.1,-0.1,2,12,3,0,15,,
54,Endre Botka,DF,hu Hungary,26,1994,3,52,82,63.4,897,343,21,21,100,22,34,64.7,5,21,23.8,0,0,0,0,3,0,0,2,,
55,Dedryck Boyata,DF,be Belgium,30,1990,2,169,171,98.8,3911,1047,30,31,96.8,106,106,100,33,33,100,0,0,0,1,5,0,0,3,,
56,Jakub Brabec,DF,cz Czech Republic,28,1992,0.3,17,19,89.5,366,81,4,4,100,11,11,100,2,4,50,0,0,0,0,3,0,0,0,,
57,Martin Braithwaite,FWMF,dk Denmark,29,1991,6.3,140,185,75.7,2058,391,78,92,84.8,50,60,83.3,6,17,35.3,0,0.4,-0.4,8,8,5,0,12,,
58,Josip Brekalo,FWDF,hr Croatia,22,1998,1.3,36,45,80,683,122,15,17,88.2,15,19,78.9,5,6,83.3,0,0.3,-0.3,1,1,0,0,2,,
59,David Brooks,FWMF,wls Wales,23,1997,0.4,5,8,62.5,112,21,1,2,50,3,3,100,1,2,50,0,0,0,0,0,0,0,0,,
60,Marcelo Brozović,MF,hr Croatia,28,1992,3.1,191,212,90.1,3717,864,84,87,96.6,71,82,86.6,35,39,89.7,0,0.1,-0.1,3,11,2,0,8,,
61,Ante Budimir,MF,hr Croatia,29,1991,0.5,6,7,85.7,98,30,2,3,66.7,3,3,100,1,1,100,0,0,0,0,2,0,0,1,,
62,Heorhiy Bushchan,GK,ua Ukraine,26,1994,5.3,103,145,71,3042,1922,25,25,100,38,38,100,40,82,48.8,0,0,0,0,1,0,0,0,,
63,Sergio Busquets,MF,es Spain,32,1988,4.4,293,321,91.3,5555,1263,108,115,93.9,146,156,93.6,36,42,85.7,0,0.3,-0.3,4,33,4,0,30,,
64,Jens Cajuste,MF,se Sweden,21,1999,0.1,0,0,,0,0,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,,
65,Uğurcan Çakır,GK,tr Turkey,24,1996,3,70,103,68,2263,1542,19,19,100,25,25,100,26,58,44.8,0,0,0,0,1,1,0,0,,
66,Duje Ćaleta-Car,DF,hr Croatia,24,1996,2.3,90,97,92.8,2113,665,27,28,96.4,41,41,100,22,26,84.6,0,0,0,0,3,1,0,2,,
67,Hakan Çalhanoğlu,MF,tr Turkey,26,1994,2.9,120,156,76.9,2276,570,53,62,85.5,41,50,82,22,35,62.9,1,0.5,0.5,7,9,4,1,9,,
68,Dominic Calvert-Lewin,FW,eng England,23,1997,0.2,2,3,66.7,25,0,2,2,100,0,1,0,0,0,,0,0,0,0,0,0,0,0,,
69,Emre Can,DFMF,de Germany,27,1994,0.4,41,45,91.1,863,182,10,10,100,24,24,100,6,9,66.7,0,0,0,0,6,1,0,3,,
70,Yannick Carrasco,MF,be Belgium,27,1993,1.5,37,48,77.1,580,122,23,24,95.8,8,11,72.7,4,9,44.4,0,0.1,-0.1,1,4,0,0,3,,
71,William Carvalho,MF,pt Portugal,28,1992,1.5,82,92,89.1,1646,252,30,31,96.8,35,39,89.7,16,20,80,0,0,0,0,11,1,0,6,,
72,Timothy Castagne,DF,be Belgium,25,1995,0.3,10,11,90.9,126,54,7,7,100,3,3,100,0,1,0,0,0,0,0,1,0,0,2,,
73,Gaetano Castrovilli,MF,it Italy,23,1997,0,3,3,100,32,0,3,3,100,0,0,,0,0,,0,0,0,0,0,0,0,0,,
74,Zeki Çelik,DF,tr Turkey,23,1997,3,133,163,81.6,2294,829,68,72,94.4,45,60,75,13,21,61.9,0,0.1,-0.1,2,11,1,0,5,,
75,Ondřej Čelůstka,DF,cz Czech Republic,31,1989,4.7,149,176,84.7,3545,1021,39,41,95.1,69,76,90.8,41,57,71.9,0,0,0,0,5,2,0,8,,
76,Nacer Chadli,DF,be Belgium,31,1989,1,60,70,85.7,787,158,39,40,97.5,17,23,73.9,1,2,50,0,0,0,1,1,1,0,2,,
77,Denis Cheryshev,FWMF,ru Russia,30,1990,0.4,2,3,66.7,32,3,1,2,50,1,1,100,0,0,,0,0,0,1,0,0,0,0,,
78,Giorgio Chiellini,DF,it Italy,36,1984,4.9,287,313,91.7,5410,1379,104,109,95.4,144,150,96,33,47,70.2,0,0,0,1,17,0,0,11,,
79,Federico Chiesa,FW,it Italy,23,1997,4.9,84,112,75,1235,283,45,55,81.8,27,35,77.1,6,12,50,0,0.8,-0.8,6,2,5,2,7,,
80,Andreas Christensen,DF,dk Denmark,24,1996,5.8,265,291,91.1,5085,1515,94,99,94.9,142,154,92.2,28,37,75.7,0,0,0,1,25,0,0,16,,
81,Ryan Christie,FW,sct Scotland,25,1995,0.5,9,11,81.8,154,21,5,6,83.3,3,3,100,1,2,50,0,0.1,-0.1,1,0,2,0,2,,
82,Darko Churlinov,FW,mk N. Macedonia,20,2000,0.9,12,16,75,185,27,5,6,83.3,6,8,75,1,1,100,0,0,0,2,1,1,1,0,,
83,Viktor Claesson,MFFW,se Sweden,29,1992,1,13,21,61.9,262,64,8,12,66.7,3,5,60,2,3,66.7,0,0,0,0,3,0,0,3,,
84,Kingsley Coman,MFFW,fr France,24,1996,1,33,42,78.6,510,102,18,22,81.8,13,16,81.3,2,4,50,0,0.2,-0.2,4,1,0,0,3,,
85,Liam Cooper,DF,sct Scotland,29,1991,1,63,77,81.8,1526,384,12,12,100,39,43,90.7,12,19,63.2,0,0,0,1,6,0,0,3,,
86,Andreas Cornelius,FW,dk Denmark,27,1993,0.7,19,27,70.4,322,48,11,13,84.6,5,7,71.4,2,5,40,1,0.3,0.7,2,1,1,0,2,,
87,Vladimír Coufal,DF,cz Czech Republic,28,1992,5,235,326,72.1,4030,2368,124,130,95.4,82,120,68.3,27,66,40.9,1,0.9,0.1,7,17,11,5,34,,
88,Thibaut Courtois,GK,be Belgium,28,1992,5,140,171,81.9,3962,2173,31,31,100,57,57,100,52,82,63.4,0,0,0,0,0,0,0,0,,
89,Bryan Cristante,MF,it Italy,25,1995,1.5,62,74,83.8,1232,283,28,31,90.3,25,28,89.3,9,13,69.2,0,0,0,1,7,0,0,6,,
90,Tamás Cseri,MF,hu Hungary,33,1988,0.2,1,1,100,11,0,1,1,100,0,0,,0,0,,0,0,0,0,0,0,0,0,,
91,Diogo Dalot,DF,pt Portugal,21,1999,1.1,67,78,85.9,1253,272,27,27,100,36,40,90,4,10,40,0,0,0,0,5,1,0,5,,
92,Mikkel Damsgaard,MFFW,dk Denmark,20,2000,3.6,92,123,74.8,1550,445,49,55,89.1,34,50,68,9,12,75,1,0.4,0.6,6,11,7,2,15,,
93,Marcus Danielsson,DF,se Sweden,31,1989,4.1,130,151,86.1,2687,824,44,50,88,60,65,92.3,21,29,72.4,0,0,0,0,11,0,0,15,,
94,Vladimír Darida,MF,cz Czech Republic,30,1990,2.7,93,125,74.4,1737,499,38,48,79.2,39,49,79.6,13,21,61.9,0,0.2,-0.2,2,8,3,0,13,,
95,Ben Davies,DF,wls Wales,27,1993,3.1,86,120,71.7,1642,570,33,37,89.2,43,59,72.9,10,21,47.6,0,0,0,0,3,2,1,7,,
96,Paweł Dawidowicz,DF,pl Poland,25,1995,0.1,1,2,50,13,13,1,1,100,0,1,0,0,0,,0,0,0,0,0,0,0,0,,
97,Kevin De Bruyne,MF,be Belgium,29,1991,3,136,182,74.7,2757,841,61,71,85.9,45,61,73.8,29,44,65.9,2,2.2,-0.2,13,20,7,0,20,,
98,Thomas Delaney,MF,dk Denmark,29,1991,5.1,198,251,78.9,3644,869,97,110,88.2,73,81,90.1,26,47,55.3,0,0.3,-0.3,4,20,8,4,16,,
99,Ousmane Dembélé,FWMF,fr France,23,1997,0.3,6,11,54.5,119,22,2,3,66.7,3,5,60,1,2,50,0,0,0,1,0,0,0,1,,
100,Merih Demiral,DF,tr Turkey,22,1998,2.5,123,138,89.1,2276,601,51,52,98.1,57,63,90.5,15,22,68.2,0,0,0,1,4,0,0,3,,
101,Jason Denayer,DF,be Belgium,25,1995,2,148,158,93.7,2674,734,69,72,95.8,61,64,95.3,18,21,85.7,0,0,0,0,16,0,0,5,,
102,Leander Dendoncker,MF,be Belgium,25,1995,1.7,78,90,86.7,1414,165,37,40,92.5,33,37,89.2,8,12,66.7,0,0,0,0,3,0,0,0,,
103,Memphis Depay,FW,nl Netherlands,26,1994,3.6,123,176,69.9,1962,628,78,94,83,31,41,75.6,10,32,31.3,2,1.1,0.9,6,12,9,1,19,,
104,Halil Dervişoğlu,MF,tr Turkey,21,1999,0.3,4,7,57.1,53,17,3,4,75,1,1,100,0,1,0,0,0,0,0,2,1,0,1,,
105,Giovanni Di Lorenzo,DF,it Italy,27,1993,6.5,299,345,86.7,5445,2216,131,140,93.6,128,142,90.1,33,48,68.8,0,0.3,-0.3,4,33,6,2,25,,
106,Rúben Dias,DF,pt Portugal,23,1997,4,286,307,93.2,6756,2124,67,68,98.5,153,154,99.4,66,82,80.5,0,0,0,0,15,2,0,12,,
107,Lucas Digne,DF,fr France,27,1993,1.1,62,74,83.8,831,250,44,48,91.7,17,20,85,1,2,50,0,0.2,-0.2,1,3,2,2,3,,
108,Stole Dimitrievski,GK,mk N. Macedonia,27,1993,3,74,98,75.5,2652,1707,10,10,100,25,25,100,39,63,61.9,0,0.1,-0.1,1,3,0,0,0,,
109,Igor Diveev,DF,ru Russia,21,1999,2.5,95,117,81.2,2578,812,14,15,93.3,49,51,96.1,32,50,64,0,0,0,0,8,0,0,8,,
110,Jeremy Doku,MF,be Belgium,18,2002,1.8,48,60,80,710,100,29,34,85.3,16,22,72.7,3,3,100,0,0.2,-0.2,3,2,3,0,3,,
111,Kasper Dolberg,FW,dk Denmark,23,1997,2.5,38,49,77.6,474,48,26,32,81.3,7,9,77.8,2,4,50,0,0.1,-0.1,2,1,0,0,0,,
112,Gianluigi Donnarumma,GK,it Italy,21,1999,8,201,243,82.7,4721,2737,63,64,98.4,85,87,97.7,52,91,57.1,0,0,0,0,0,0,0,0,,
113,Artem Dovbyk,FW,ua Ukraine,23,1997,0.2,4,5,80,43,11,4,4,100,0,0,,0,1,0,0,0.1,-0.1,1,0,0,0,0,,
114,Aleksandar Dragović,DF,at Austria,29,1991,3.8,201,232,86.6,4702,1569,50,59,84.7,101,113,89.4,48,57,84.2,0,0,0,0,20,1,0,19,,
115,Martin Dúbravka,GK,sk Slovakia,32,1989,3,80,120,66.7,2316,1206,17,17,100,38,39,97.4,25,62,40.3,0,0,0,0,1,0,0,1,,
116,Ondrej Duda,FW,sk Slovakia,26,1994,2.5,71,88,80.7,1404,212,33,42,78.6,26,29,89.7,12,16,75,0,0.2,-0.2,4,5,2,0,5,,
117,Denzel Dumfries,DF,nl Netherlands,24,1996,3.5,95,129,73.6,1614,637,51,62,82.3,33,41,80.5,10,21,47.6,0,0.3,-0.3,4,4,2,1,12,,
118,Michal Ďuriš,FWMF,sk Slovakia,32,1988,0.6,13,13,100,205,3,6,6,100,4,4,100,1,1,100,0,0,0,0,0,0,0,0,,
119,Lyndon Dykes,FW,sct Scotland,25,1995,2.9,24,53,45.3,371,102,14,27,51.9,8,18,44.4,1,2,50,0,0.2,-0.2,3,3,0,0,3,,
120,Georgi Dzhikiya,DF,ru Russia,27,1993,3,110,132,83.3,2252,614,33,35,94.3,59,60,98.3,16,35,45.7,0,0,0,0,5,1,0,3,,
121,Artem Dzyuba,FW,ru Russia,32,1988,2.9,50,83,60.2,605,158,29,42,69,13,23,56.5,1,4,25,1,0.4,0.6,5,3,2,0,4,,
122,Albin Ekdal,MF,se Sweden,31,1989,4.3,119,136,87.5,2086,468,53,58,91.4,48,56,85.7,14,15,93.3,0,0.4,-0.4,2,12,2,0,7,,
123,Elif Elmas,MFFW,mk N. Macedonia,21,1999,3,94,106,88.7,1672,375,39,43,90.7,42,46,91.3,10,11,90.9,0,0,0,1,7,1,0,11,,
124,Nico Elvedi,DF,ch Switzerland,24,1996,5.7,216,240,90,4070,1237,74,81,91.4,119,123,96.7,23,33,69.7,0,0,0,0,12,0,0,7,,
125,Breel Embolo,FW,ch Switzerland,23,1997,4.1,87,110,79.1,1361,356,49,58,84.5,30,35,85.7,6,9,66.7,0,0.6,-0.6,6,2,6,0,8,,
126,Christian Eriksen,MF,dk Denmark,28,1992,0.5,22,30,73.3,451,85,9,9,100,6,7,85.7,6,13,46.2,0,0.1,-0.1,2,1,0,0,1,,
127,Christian Fassnacht,FWMF,ch Switzerland,27,1993,0.8,8,19,42.1,138,34,3,5,60,3,10,30,1,3,33.3,0,0,0,0,0,0,0,0,,
128,João Félix,FW,pt Portugal,21,1999,0.4,16,20,80,265,52,8,11,72.7,6,6,100,2,3,66.7,0,0,0,0,1,1,0,3,,
129,Bruno Fernandes,MF,pt Portugal,26,1994,2.3,79,105,75.2,1783,554,30,33,90.9,28,38,73.7,20,30,66.7,0,0.8,-0.8,6,7,7,1,12,,
130,Mário Fernandes,DF,ru Russia,30,1990,2.3,59,76,77.6,1021,350,25,28,89.3,28,36,77.8,4,10,40,0,0,0,0,3,3,1,7,,
131,Attila Fiola,DF,hu Hungary,30,1990,2.9,62,91,68.1,945,454,31,34,91.2,29,42,69,0,7,0,0,0,0,0,2,0,0,4,,
132,Alessandro Florenzi,DF,it Italy,29,1991,0.5,48,57,84.2,926,276,18,21,85.7,24,25,96,5,10,50,0,0,0,0,3,0,0,2,,
133,Phil Foden,FWMF,eng England,20,2000,1.8,63,75,84,1133,129,27,27,100,24,29,82.8,10,14,71.4,0,0.1,-0.1,3,1,0,0,1,,
134,James Forrest,DF,sct Scotland,29,1991,0.1,3,5,60,38,16,2,2,100,1,2,50,0,1,0,0,0,0,0,0,0,0,0,,
135,Emil Forsberg,MF,se Sweden,29,1991,4.1,119,147,81,2074,481,51,56,91.1,48,56,85.7,16,28,57.1,0,0.2,-0.2,5,12,6,0,16,,
136,Marcus Forss,FW,fi Finland,21,1999,0.1,1,2,50,10,0,1,1,100,0,0,,0,0,,0,0,0,0,0,0,0,0,,
137,Przemysław Frankowski,DFFW,pl Poland,25,1995,0.9,41,49,83.7,680,225,25,27,92.6,12,14,85.7,4,5,80,1,0.7,0.3,5,0,6,4,3,,
138,Ryan Fraser,MF,sct Scotland,26,1994,0.5,15,22,68.2,295,82,6,8,75,7,8,87.5,2,6,33.3,0,0.2,-0.2,1,1,1,1,1,,
139,Remo Freuler,MF,ch Switzerland,28,1992,5.1,224,249,90,3899,1031,104,110,94.5,97,102,95.1,22,32,68.8,1,0.7,0.3,5,18,3,0,19,,
140,Cody Gakpo,MF,nl Netherlands,21,1999,0.1,4,6,66.7,44,8,4,5,80,0,0,,0,1,0,0,0,0,0,0,1,0,1,,
141,Eric García,DF,es Spain,20,2001,2.8,277,288,96.2,6080,1399,52,52,100,184,188,97.9,41,48,85.4,0,0,0,0,13,0,0,14,,
142,Mario Gavranović,FWMF,ch Switzerland,31,1989,1.7,23,31,74.2,304,41,13,16,81.3,7,10,70,1,1,100,0,0.2,-0.2,2,2,0,0,1,,
143,Billy Gilmour,MF,sct Scotland,19,2001,0.8,40,45,88.9,713,102,17,18,94.4,19,21,90.5,4,6,66.7,0,0,0,0,2,0,0,1,,
144,Matthias Ginter,DF,de Germany,27,1994,3.8,263,300,87.7,5270,1566,86,91,94.5,138,151,91.4,37,54,68.5,0,0,0,1,28,2,0,20,,
145,Olivier Giroud,FW,fr France,34,1986,0.5,7,11,63.6,99,20,6,8,75,0,1,0,1,1,100,0,0.1,-0.1,1,0,1,0,1,,
146,Kamil Glik,DF,pl Poland,32,1988,3,120,141,85.1,2660,692,22,26,84.6,85,91,93.4,13,23,56.5,0,0.1,-0.1,1,5,0,0,9,,
147,Serge Gnabry,FW,de Germany,25,1995,2.8,63,80,78.8,922,50,37,45,82.2,19,23,82.6,3,6,50,0,0.1,-0.1,1,3,0,0,0,,
148,Aleksandr Golovin,MFFW,ru Russia,24,1996,3,100,130,76.9,1848,562,42,48,87.5,39,51,76.5,15,25,60,0,0.2,-0.2,3,5,6,4,10,,
149,Leon Goretzka,MFFW,de Germany,25,1995,1.6,66,72,91.7,1139,251,27,28,96.4,32,35,91.4,5,6,83.3,0,0.1,-0.1,1,7,0,0,7,,
150,Robin Gosens,DF,de Germany,26,1994,3.5,159,190,83.7,2696,616,72,78,92.3,72,86,83.7,12,20,60,1,1.1,-0.1,5,4,6,4,10,,
151,Ryan Gravenberch,MF,nl Netherlands,18,2002,1.2,85,95,89.5,1327,392,41,42,97.6,38,42,90.5,3,5,60,0,0,0,1,8,3,0,12,,
152,Jack Grealish,FWMF,eng England,25,1995,2,64,77,83.1,942,177,36,40,90,27,30,90,1,4,25,2,1,1,5,4,5,0,9,,
153,Michael Gregoritsch,FWMF,at Austria,26,1994,1.2,23,27,85.2,308,36,12,13,92.3,8,11,72.7,0,0,,0,0.2,-0.2,1,0,1,0,2,,
154,Ján Greguš,FW,sk Slovakia,30,1991,0,1,1,100,5,0,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,,
155,Antoine Griezmann,MFFW,fr France,29,1991,3.9,152,189,80.4,3221,760,55,64,85.9,63,70,90,34,52,65.4,0,0.6,-0.6,9,15,6,0,20,,
156,Florian Grillitsch,MF,at Austria,25,1995,2.5,146,169,86.4,3103,753,46,49,93.9,71,77,92.2,28,39,71.8,0,0,0,0,16,3,1,13,,
157,Raphaël Guerreiro,DF,pt Portugal,27,1993,4,245,275,89.1,3961,1314,133,138,96.4,88,98,89.8,20,31,64.5,0,0.2,-0.2,4,14,4,3,17,,
158,Péter Gulácsi,GK,hu Hungary,30,1990,3,81,102,79.4,1913,875,28,28,100,35,35,100,17,37,45.9,0,0,0,0,0,0,0,0,,
159,İlkay Gündoğan,MF,de Germany,30,1990,2.4,172,183,94,3270,495,71,75,94.7,77,81,95.1,22,23,95.7,0,0,0,0,22,0,0,9,,
160,Chris Gunter,DF,wls Wales,31,1989,1,25,30,83.3,494,123,8,8,100,14,15,93.3,3,7,42.9,0,0,0,0,0,0,0,0,,
161,Joško Gvardiol,DF,hr Croatia,19,2002,4.1,174,209,83.3,2967,1156,86,94,91.5,65,74,87.8,17,30,56.7,0,0,0,1,7,6,2,16,,
162,Marcel Halstenberg,DF,de Germany,29,1991,0.3,9,11,81.8,188,79,2,2,100,4,6,66.7,2,2,100,0,0.1,-0.1,1,0,1,1,0,,
163,Marek Hamšík,MF,sk Slovakia,33,1987,2.8,127,151,84.1,2811,607,52,57,91.2,43,52,82.7,30,37,81.1,1,0.2,0.8,3,8,1,1,10,,
164,Dávid Hancko,DF,sk Slovakia,23,1997,0.1,8,10,80,159,97,5,5,100,2,3,66.7,1,2,50,0,0,0,0,1,1,0,1,,
165,Grant Hanley,DF,sct Scotland,29,1991,2.4,82,88,93.2,1584,270,24,27,88.9,49,50,98,7,9,77.8,0,0,0,0,0,0,0,1,,
166,Lukáš Haraslín,FW,sk Slovakia,24,1996,2,30,38,78.9,505,57,17,20,85,9,11,81.8,3,4,75,0,0.1,-0.1,1,0,0,0,0,,
167,Ferhan Hasani,FW,mk N. Macedonia,30,1990,0.3,5,8,62.5,95,51,3,3,100,1,3,33.3,1,2,50,0,0,0,0,1,0,0,2,,
168,Kai Havertz,FWMF,de Germany,21,1999,3.3,96,117,82.1,1501,372,57,66,86.4,33,36,91.7,6,9,66.7,0,0.9,-0.9,4,4,6,0,10,,
169,Eden Hazard,MF,be Belgium,30,1991,2.5,121,139,87.1,1992,452,65,73,89,48,55,87.3,8,9,88.9,1,0.1,0.9,2,9,3,1,12,,
170,Thorgan Hazard,DF,be Belgium,27,1993,4,249,283,88,4415,1022,114,124,91.9,99,109,90.8,28,34,82.4,0,0,0,1,6,1,0,11,,
171,Filip Helander,DFMF,se Sweden,27,1993,0.2,3,3,100,27,13,3,3,100,0,0,,0,0,,0,0,0,0,0,0,0,0,,
172,Jordan Henderson,MF,eng England,30,1990,1.7,101,118,85.6,1829,405,39,44,88.6,53,58,91.4,8,15,53.3,0,0,0,0,10,2,0,9,,
173,Jack Hendry,DF,sct Scotland,25,1995,0.7,18,22,81.8,398,158,4,4,100,10,11,90.9,4,6,66.7,0,0,0,0,1,1,0,2,,
174,Lucas Hernández,DF,fr France,24,1996,1.5,70,80,87.5,1097,319,39,41,95.1,26,30,86.7,3,7,42.9,0,0,0,0,4,0,0,4,,
175,Martin Hinteregger,DF,at Austria,28,1992,4.3,215,254,84.6,4260,1392,69,74,93.2,113,126,89.7,29,49,59.2,0,0,0,0,16,2,0,15,,
176,Adam Hložek,FW,cz Czech Republic,18,2002,0.9,16,25,64,272,87,8,11,72.7,7,10,70,1,4,25,0,0.2,-0.2,1,0,3,2,5,,
177,Pierre Højbjerg,MF,dk Denmark,25,1995,6.3,338,399,84.7,6612,1574,126,137,92,159,181,87.8,49,75,65.3,3,0.7,2.3,9,38,11,1,40,,
178,Tomáš Holeš,MF,cz Czech Republic,27,1993,3.3,89,112,79.5,1529,460,48,56,85.7,27,35,77.1,11,16,68.8,1,0.2,0.8,2,9,1,0,10,,
179,Lukáš Hrádecký,GK,fi Finland,31,1989,3,65,115,56.5,2280,1568,10,10,100,22,24,91.7,33,81,40.7,0,0,0,0,2,0,0,0,,
180,Jakub Hromada,MF,sk Slovakia,24,1996,1.4,30,38,78.9,440,69,21,23,91.3,8,9,88.9,1,4,25,0,0,0,0,1,0,0,0,,
181,Patrik Hrošovský,MF,sk Slovakia,28,1992,1.1,47,53,88.7,908,163,23,24,95.8,15,16,93.8,9,11,81.8,0,0,0,0,0,1,1,1,,
182,Tomáš Hubočan,DF,sk Slovakia,35,1985,2.9,107,129,82.9,1909,903,38,42,90.5,61,71,85.9,7,12,58.3,0,0.2,-0.2,4,7,3,0,15,,
183,Mats Hummels,DF,de Germany,32,1988,3.7,297,316,94,6719,1858,68,69,98.6,163,169,96.4,65,75,86.7,1,0.2,0.8,2,27,3,0,21,,
184,Stefan Ilsanker,MFFW,at Austria,31,1989,0.3,13,15,86.7,213,123,8,9,88.9,4,5,80,1,1,100,0,0,0,0,0,0,0,1,,
185,Ciro Immobile,FW,it Italy,30,1990,4.9,102,128,79.7,1469,150,54,64,84.4,30,37,81.1,8,12,66.7,1,0.6,0.4,3,4,4,0,7,,
186,Lorenzo Insigne,FW,it Italy,29,1991,5.6,268,341,78.6,4760,1190,147,166,88.6,81,99,81.8,37,63,58.7,0,1.2,-1.2,13,12,13,3,26,,
187,Alexander Isak,FW,se Sweden,21,1999,3.6,51,69,73.9,823,248,26,35,74.3,15,17,88.2,7,8,87.5,2,1.5,0.5,5,3,4,0,9,,
188,Luka Ivanušec,FWMF,hr Croatia,22,1998,0.7,19,25,76,286,73,11,14,78.6,7,9,77.8,1,1,100,0,0,0,0,1,0,0,1,,
189,Daniel James,MFFW,wls Wales,23,1997,3.5,53,72,73.6,1124,423,22,26,84.6,16,23,69.6,14,19,73.7,0,0.5,-0.5,10,1,5,4,4,,
190,Reece James,DF,eng England,21,1999,1,86,88,97.7,1500,448,36,37,97.3,47,47,100,3,4,75,0,0.3,-0.3,2,5,1,1,11,,
191,Jakub Jankto,FWMF,cz Czech Republic,25,1996,2.7,80,107,74.8,1503,381,48,50,96,20,31,64.5,12,21,57.1,0,0.5,-0.5,7,3,1,0,7,,
192,Fredrik Jensen,DFFW,fi Finland,23,1997,0.1,1,3,33.3,17,5,0,1,0,1,1,100,0,0,,0,0,0,0,1,0,0,0,,
193,Mathias Jensen,MFFW,dk Denmark,25,1996,1.6,90,120,75,1835,422,42,47,89.4,30,37,81.1,18,35,51.4,1,0.2,0.8,2,4,4,1,9,,
194,Frenkie de Jong,MF,nl Netherlands,23,1997,3.9,237,269,88.1,4118,1027,106,123,86.2,108,111,97.3,19,25,76,0,0.4,-0.4,4,25,4,0,18,,
