Rk,Player,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,01-Mar,PPA,CrsPA,Prog,,
426,Jurrien Timber,DF,nl Netherlands,19,2001,1.6,103,109,94.5,1879,441,39,42,92.9,56,56,100,8,10,80,0,0,0,0,11,0,0,12,,
427,Joona Toivio,DF,fi Finland,32,1988,2.9,90,112,80.4,1851,826,26,26,100,53,59,89.8,11,26,42.3,0,0,0,1,2,0,0,5,,
428,Dorukhan Toköz,MF,tr Turkey,24,1996,0.1,3,4,75,30,18,3,4,75,0,0,,0,0,,0,0,0,0,0,0,0,0,,
429,Corentin Tolisso,FWMF,fr France,26,1994,0.9,59,61,96.7,1160,185,24,24,100,22,23,95.7,12,13,92.3,0,0,0,1,4,1,0,3,,
430,Rafael Tolói,DF,it Italy,30,1990,1.8,78,94,83,1517,485,28,30,93.3,41,47,87.2,9,15,60,1,0.1,0.9,2,11,0,0,8,,
431,Ferrán Torres,FW,es Spain,20,2000,4.1,118,151,78.1,1798,401,68,79,86.1,35,43,81.4,9,19,47.4,1,0.6,0.4,4,4,9,6,10,,
432,Pau Torres,DF,es Spain,24,1997,4.2,407,432,94.2,8909,2384,106,110,96.4,227,236,96.2,72,83,86.7,1,0.5,0.5,2,34,0,0,21,,
433,Aleksandar Trajkovski,FW,mk N. Macedonia,28,1992,1.9,53,63,84.1,887,135,25,29,86.2,17,21,81,5,5,100,0,0.1,-0.1,3,3,3,1,5,,
434,Adama Traoré,DFFW,es Spain,25,1996,0.2,14,16,87.5,262,18,7,7,100,5,5,100,2,3,66.7,0,0,0,0,0,0,0,0,,
435,Ivan Tričkovski,FWDF,mk N. Macedonia,33,1987,0.8,14,17,82.4,244,26,7,8,87.5,6,8,75,1,1,100,0,0,0,0,0,0,0,1,,
436,Christopher Trimmel,DF,at Austria,33,1987,0.1,1,1,100,18,14,0,0,,1,1,100,0,0,,0,0,0,0,1,0,0,1,,
437,Kieran Trippier,DF,eng England,30,1990,3.2,146,193,75.6,2829,1049,59,62,95.2,63,79,79.7,21,45,46.7,1,0.4,0.6,5,11,5,2,8,,
438,Leandro Trossard,DF,be Belgium,26,1994,0.8,47,55,85.5,818,221,24,25,96,20,22,90.9,3,5,60,0,0,0,0,3,3,0,8,,
439,Viktor Tsyhankov,FW,ua Ukraine,23,1997,1.6,58,76,76.3,840,146,33,40,82.5,17,21,81,4,6,66.7,0,0.1,-0.1,2,2,2,0,6,,
440,Ozan Tufan,MF,tr Turkey,25,1995,1.9,73,80,91.3,1301,408,35,37,94.6,30,35,85.7,8,8,100,0,0.3,-0.3,1,11,2,0,9,,
441,Andreas Ulmer,DF,at Austria,35,1985,2,64,85,75.3,932,191,32,40,80,24,31,77.4,3,7,42.9,0,0,0,0,1,1,0,3,,
442,Cengiz Ünder,MF,tr Turkey,23,1997,2.3,55,71,77.5,1025,300,27,32,84.4,17,19,89.5,8,14,57.1,0,0.3,-0.3,6,4,5,2,7,,
443,Jere Uronen,DF,fi Finland,26,1994,2.8,82,103,79.6,1380,508,45,49,91.8,28,36,77.8,8,15,53.3,1,0.6,0.4,4,3,6,3,10,,
444,Tomáš Vaclík,GK,cz Czech Republic,31,1989,5,89,152,58.6,2962,1840,8,8,100,40,40,100,41,103,39.8,0,0,0,0,0,0,0,0,,
445,Leo Väisänen,DF,fi Finland,23,1997,0,0,1,0,0,0,0,0,,0,0,,0,1,0,0,0,0,0,0,0,0,0,,
446,Hans Vanaken,MF,be Belgium,28,1992,0,2,2,100,25,5,2,2,100,0,0,,0,0,,0,0,0,0,0,0,0,0,,
447,Raphaël Varane,DF,fr France,27,1993,4.3,261,278,93.9,6045,1638,43,43,100,169,174,97.1,46,57,80.7,0,0,0,1,31,2,0,17,,
448,Kevin Varga,FWDF,hu Hungary,24,1996,0.1,7,8,87.5,129,14,3,3,100,1,2,50,2,2,100,0,0,0,0,0,0,0,0,,
