,,,,,,,,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Height,Height,Height,Body Parts,Body Parts,Body Parts,Body Parts,Body Parts,,Outcomes,Outcomes,Outcomes,Outcomes,,
Rk,Player,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks,,
153,Michael Gregoritsch,FWMF,at Austria,26,1994,1.2,27,24,3,0,1,7,0,2,0,0,0,0,18,3,6,12,9,3,0,1,23,0,0,0,0,,
154,Ján Greguš,FW,sk Slovakia,30,1991,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,,
155,Antoine Griezmann,MFFW,fr France,29,1991,3.9,189,169,20,6,2,33,12,5,11,6,5,0,132,20,37,155,25,3,3,1,152,0,3,9,4,,
156,Florian Grillitsch,MF,at Austria,25,1995,2.5,169,165,4,4,0,38,5,2,0,0,0,0,138,8,23,18,147,3,0,1,146,0,4,5,3,,
157,Raphaël Guerreiro,DF,pt Portugal,27,1993,4,275,245,30,4,0,22,3,8,0,0,0,0,197,40,38,232,8,8,26,1,245,1,1,9,4,,
158,Péter Gulácsi,GK,hu Hungary,30,1990,3,102,67,35,5,0,6,0,0,0,0,0,0,66,4,32,8,79,0,0,11,81,0,0,0,1,,
159,İlkay Gündoğan,MF,de Germany,30,1990,2.4,183,181,2,0,0,12,5,0,0,0,0,0,162,11,10,52,124,4,2,1,172,1,1,4,1,,
160,Chris Gunter,DF,wls Wales,31,1989,1,30,28,2,1,0,5,0,0,0,0,0,0,24,0,6,12,17,0,1,0,25,0,1,0,0,,
161,Joško Gvardiol,DF,hr Croatia,19,2002,4.1,209,175,34,1,0,29,6,7,0,0,0,0,132,48,29,121,48,5,33,1,174,1,6,8,5,,
162,Marcel Halstenberg,DF,de Germany,29,1991,0.3,11,7,4,1,0,2,0,1,0,0,0,0,6,2,3,6,0,1,3,0,9,0,0,0,0,,
163,Marek Hamšík,MF,sk Slovakia,33,1987,2.8,151,142,9,4,0,31,15,3,2,2,0,0,105,21,25,47,100,1,0,1,127,3,1,2,3,,
164,Dávid Hancko,DF,sk Slovakia,23,1997,0.1,10,8,2,0,0,2,0,0,0,0,0,0,4,4,2,6,0,1,2,0,8,0,0,1,0,,
165,Grant Hanley,DF,sct Scotland,29,1991,2.4,88,87,1,1,0,12,3,0,0,0,0,0,79,2,7,7,76,1,0,0,82,0,1,0,0,,
166,Lukáš Haraslín,FW,sk Slovakia,24,1996,2,38,37,1,1,0,8,2,1,0,0,0,0,31,3,4,9,25,2,0,1,30,0,0,2,0,,
167,Ferhan Hasani,FW,mk N. Macedonia,30,1990,0.3,8,7,1,1,0,0,0,1,0,0,0,0,5,3,0,0,8,0,0,0,5,0,1,1,0,,
168,Kai Havertz,FWMF,de Germany,21,1999,3.3,117,116,1,1,2,26,2,2,0,0,0,0,95,11,11,93,19,0,0,2,96,0,1,3,6,,
169,Eden Hazard,MF,be Belgium,30,1991,2.5,139,138,1,0,0,22,3,2,1,0,1,0,115,16,8,26,109,1,0,2,121,0,2,5,0,,
170,Thorgan Hazard,DF,be Belgium,27,1993,4,283,245,38,4,0,15,6,5,0,0,0,0,201,50,32,59,182,7,34,1,249,0,1,8,8,,
171,Filip Helander,DFMF,se Sweden,27,1993,0.2,3,3,0,0,0,2,0,0,0,0,0,0,3,0,0,3,0,0,0,0,3,0,0,0,0,,
172,Jordan Henderson,MF,eng England,30,1990,1.7,118,114,4,2,0,15,3,2,0,0,0,0,86,11,21,16,93,4,2,1,101,0,1,3,0,,
173,Jack Hendry,DF,sct Scotland,25,1995,0.7,22,22,0,0,0,4,0,0,0,0,0,0,16,3,3,1,20,1,0,0,18,0,1,0,1,,
174,Lucas Hernández,DF,fr France,24,1996,1.5,80,67,13,3,0,4,1,1,0,0,0,0,57,9,14,66,3,1,10,0,70,0,1,1,1,,
175,Martin Hinteregger,DF,at Austria,28,1992,4.3,254,244,10,6,0,28,2,3,0,0,0,0,191,28,35,190,46,14,3,0,215,0,3,6,1,,
176,Adam Hložek,FW,cz Czech Republic,18,2002,0.9,25,25,0,0,0,3,1,3,0,0,0,0,17,1,7,8,14,1,0,0,16,0,2,1,0,,
177,Pierre Højbjerg,MF,dk Denmark,25,1995,6.3,399,390,9,5,0,61,11,6,0,0,0,0,294,43,62,59,316,20,0,1,338,0,7,13,3,,
178,Tomáš Holeš,MF,cz Czech Republic,27,1993,3.3,112,110,2,2,0,17,1,0,0,0,0,0,75,18,19,17,82,13,0,0,89,1,4,3,2,,
179,Lukáš Hrádecký,GK,fi Finland,31,1989,3,115,76,39,11,0,12,4,0,0,0,0,0,39,4,72,14,78,0,0,13,65,0,3,2,0,,
180,Jakub Hromada,MF,sk Slovakia,24,1996,1.4,38,38,0,0,0,13,0,0,0,0,0,0,30,3,5,5,31,2,0,0,30,0,0,1,0,,
181,Patrik Hrošovský,MF,sk Slovakia,28,1992,1.1,53,53,0,0,0,5,3,1,0,0,0,0,42,4,7,7,45,1,0,0,47,0,1,0,2,,
182,Tomáš Hubočan,DF,sk Slovakia,35,1985,2.9,129,110,19,2,1,13,2,0,0,0,0,0,80,25,24,26,82,4,17,0,107,0,3,2,4,,
183,Mats Hummels,DF,de Germany,32,1988,3.7,316,308,8,4,1,27,5,0,0,0,0,0,255,25,36,94,189,19,4,1,297,1,3,2,1,,
184,Stefan Ilsanker,MFFW,at Austria,31,1989,0.3,15,15,0,0,0,0,0,0,0,0,0,0,10,3,2,0,13,2,0,0,13,0,0,1,0,,
185,Ciro Immobile,FW,it Italy,30,1990,4.9,128,120,8,0,2,44,1,1,0,0,0,0,85,33,10,9,103,6,0,6,102,0,1,9,3,,
186,Lorenzo Insigne,FW,it Italy,29,1991,5.6,341,311,30,9,4,79,21,15,14,7,6,0,239,37,65,16,307,7,6,4,268,6,3,21,7,,
187,Alexander Isak,FW,se Sweden,21,1999,3.6,69,66,3,0,1,35,0,1,0,0,0,0,49,9,11,15,41,1,1,3,51,0,1,2,5,,
188,Luka Ivanušec,FWMF,hr Croatia,22,1998,0.7,25,25,0,0,0,1,0,1,0,0,0,0,19,3,3,1,22,2,0,0,19,0,2,0,1,,
189,Daniel James,MFFW,wls Wales,23,1997,3.5,72,59,13,5,0,15,8,11,8,4,0,2,35,14,23,12,56,4,0,0,53,0,2,1,4,,
190,Reece James,DF,eng England,21,1999,1,88,81,7,1,0,9,1,2,0,0,0,0,72,12,4,6,72,3,6,0,86,0,0,1,0,,
191,Jakub Jankto,FWMF,cz Czech Republic,25,1996,2.7,107,94,13,2,0,24,8,9,10,1,5,0,63,15,29,90,12,3,1,0,80,0,4,3,5,,
192,Fredrik Jensen,DFFW,fi Finland,23,1997,0.1,3,3,0,0,0,3,0,0,0,0,0,0,1,2,0,0,1,0,0,0,1,0,0,0,1,,
193,Mathias Jensen,MFFW,dk Denmark,25,1996,1.6,120,103,17,7,0,24,15,11,9,3,4,1,76,11,33,22,91,4,1,0,90,0,4,5,1,,
194,Frenkie de Jong,MF,nl Netherlands,23,1997,3.9,269,263,6,5,1,45,5,2,0,0,0,0,224,22,23,15,238,9,1,2,237,1,1,7,7,,
195,Luuk de Jong,FW,nl Netherlands,30,1990,0.1,14,14,0,0,0,5,0,0,0,0,0,0,6,5,3,2,6,1,0,1,9,0,0,0,0,,
196,Jorginho,MF,it Italy,29,1991,7.8,518,505,13,13,2,96,5,1,0,0,0,0,418,53,47,36,463,14,0,3,487,2,3,11,3,,
197,Diogo Jota,FWMF,pt Portugal,24,1996,3.6,107,106,1,0,0,22,3,3,1,0,0,0,86,11,10,32,70,2,0,1,88,0,0,9,3,,
198,Kamil Jóźwiak,DF,pl Poland,22,1998,2.7,134,115,19,0,0,24,2,9,0,0,0,0,83,30,21,2,106,4,19,2,104,0,5,6,5,,
199,Josip Juranović,DF,hr Croatia,25,1995,1.8,91,78,13,1,0,8,4,5,0,0,0,0,64,11,16,5,74,0,12,0,76,1,0,3,2,,
200,Pavel Kadeřábek,DF,cz Czech Republic,28,1992,1,49,42,7,0,0,5,0,1,0,0,0,0,29,8,12,5,31,5,7,0,38,0,0,4,0,,
201,İrfan Kahveci,MF,tr Turkey,25,1995,1.3,67,65,2,1,0,10,2,3,1,0,1,0,49,7,11,58,3,6,0,0,54,0,2,1,1,,
202,Sasa Kalajdzic,FW,at Austria,23,1997,1.2,39,36,3,0,0,11,0,0,0,0,0,0,23,8,8,4,27,1,0,1,32,0,0,1,0,,
203,Tomáš Kalas,DF,cz Czech Republic,27,1993,5,191,187,4,4,0,23,12,1,0,0,0,0,140,15,36,18,158,4,0,1,164,0,6,2,2,,
204,Glen Kamara,MF,fi Finland,25,1995,3,159,156,3,3,0,26,6,1,0,0,0,0,144,9,6,18,135,5,0,0,142,0,2,3,4,,
205,Harry Kane,FW,eng England,27,1993,7.2,164,159,5,1,1,57,12,5,0,0,0,0,104,32,28,21,118,4,3,1,116,0,3,13,3,,
206,N'Golo Kanté,MF,fr France,29,1991,4.3,253,250,3,3,0,39,5,0,0,0,0,0,211,25,17,30,203,12,0,4,232,1,0,3,7,,
207,Kenan Karaman,MF,tr Turkey,26,1994,1.8,41,41,0,0,0,14,0,0,0,0,0,0,22,11,8,10,23,2,0,1,25,1,0,4,3,,
208,Oleksandr Karavayev,DF,ua Ukraine,28,1992,5.3,290,245,45,5,0,27,8,6,0,0,0,0,191,58,41,30,204,11,40,1,242,0,2,9,9,,
209,Vyacheslav Karavayev,DF,ru Russia,25,1995,1.5,66,51,15,1,0,8,1,2,0,0,0,0,40,14,12,11,41,0,14,0,45,2,2,2,5,,
210,Joni Kauko,MFFW,fi Finland,30,1990,0.7,31,31,0,0,0,10,1,1,0,0,0,0,19,7,5,5,22,2,0,0,24,0,0,2,1,,
211,Joshua Kimmich,DF,de Germany,25,1995,4,261,228,33,4,2,34,8,16,4,0,4,0,178,34,49,50,173,8,25,3,222,0,3,8,1,,
212,Presnel Kimpembe,DF,fr France,25,1995,4.3,276,273,3,2,0,18,3,0,0,0,0,0,247,15,14,231,35,7,1,1,260,0,1,7,2,,
213,Simon Kjær,DF,dk Denmark,31,1989,5.9,264,257,7,7,0,28,9,1,0,0,0,0,197,19,48,63,182,13,0,0,235,0,3,6,0,,
214,László Kleinheisler,MF,hu Hungary,26,1994,2.7,59,53,6,2,0,10,2,3,2,1,0,0,44,6,9,9,45,3,0,1,43,0,1,4,1,,
215,Mateusz Klich,MF,pl Poland,30,1990,2.3,119,110,9,6,0,24,0,9,0,0,0,0,81,18,20,7,100,6,3,3,83,0,4,4,9,,
216,Orkun Kökçü,MF,tr Turkey,20,2000,0.1,7,6,1,0,0,1,1,0,1,1,0,0,3,1,3,1,6,0,0,0,6,0,0,0,0,,
217,Koke,MF,es Spain,29,1992,5.3,450,415,35,14,1,51,17,15,19,6,8,0,341,38,71,40,402,6,2,0,395,0,4,10,4,,
218,Martin Koscelník,FWDF,sk Slovakia,25,1995,1.1,42,40,2,1,0,6,0,4,0,0,0,0,33,5,4,5,36,0,1,0,33,1,2,1,0,,
219,Tihomir Kostadinov,MFFW,mk N. Macedonia,24,1996,0.6,17,17,0,0,0,3,1,0,0,0,0,0,9,3,5,2,13,1,0,0,13,0,1,1,0,,
220,Jules Koundé,DF,fr France,22,1998,1,49,43,6,0,0,5,2,2,0,0,0,0,36,4,9,2,40,1,6,0,41,0,0,0,2,,
221,Mateo Kovačić,MF,hr Croatia,26,1994,3.8,217,206,11,7,0,30,6,0,1,0,0,0,180,18,19,8,203,4,1,0,194,0,4,5,2,,
222,Kacper Kozłowski,FWMF,pl Poland,17,2003,0.6,18,18,0,0,0,5,1,0,0,0,0,0,15,0,3,1,16,1,0,0,15,0,0,0,2,,
223,Emil Krafth,DF,se Sweden,26,1994,0.9,29,22,7,0,0,5,1,0,0,0,0,0,12,4,13,0,20,2,7,0,17,0,1,0,2,,
224,Alex Král,MF,cz Czech Republic,22,1998,1.4,70,70,0,0,0,22,1,0,0,0,0,0,41,9,20,18,42,5,0,0,46,3,1,3,4,,
225,Andrej Kramarić,FWMF,hr Croatia,29,1991,2.5,62,55,7,1,0,9,0,3,0,0,0,0,44,10,8,11,49,2,0,0,55,0,0,4,2,,
226,Michal Krmenčík,FW,cz Czech Republic,27,1993,0.7,13,13,0,0,0,6,0,0,0,0,0,0,8,1,4,5,5,2,0,0,9,0,0,1,2,,
227,Toni Kroos,MF,de Germany,31,1990,4,390,358,32,18,0,39,28,5,12,4,3,0,303,22,65,40,342,4,2,2,351,1,2,9,2,,
228,Grzegorz Krychowiak,MFFW,pl Poland,31,1990,1.5,84,82,2,1,0,20,2,1,0,0,0,0,56,7,21,9,61,8,1,1,64,0,3,2,1,,
229,Serhiy Kryvtsov,DF,ua Ukraine,29,1991,1.7,102,100,2,2,0,3,2,0,0,0,0,0,96,0,6,12,88,2,0,0,98,0,0,1,0,,
230,Juraj Kucka,MF,sk Slovakia,33,1987,3,108,102,6,6,0,23,8,0,0,0,0,0,74,19,15,32,68,1,0,0,85,0,1,4,2,,
231,Fyodor Kudryashov,DF,ru Russia,33,1987,0.7,24,17,7,0,0,2,0,0,0,0,0,0,6,5,13,10,2,3,7,0,17,0,0,0,0,,
232,Dejan Kulusevski,FW,se Sweden,20,2000,1.5,43,42,1,0,0,13,0,1,0,0,0,0,33,7,3,32,7,2,0,1,35,0,1,2,2,,
233,Daler Kuzyaev,DFFW,ru Russia,28,1993,2.1,100,92,8,1,0,16,2,7,0,0,0,0,68,18,14,18,69,3,7,0,85,0,0,1,2,,
234,Konrad Laimer,FWMF,at Austria,23,1997,3.7,112,110,2,1,0,31,1,4,0,0,0,0,78,19,15,18,87,3,1,2,82,0,4,3,7,,
235,Stefan Lainer,DF,at Austria,28,1992,4.3,230,178,52,2,0,33,3,13,0,0,0,0,117,59,54,35,135,5,50,0,175,0,2,10,7,,
236,Aymeric Laporte,DF,es Spain,26,1994,7,673,659,14,14,1,21,23,0,0,0,0,0,590,28,55,500,151,16,0,2,637,1,3,7,1,,
237,Lassi Lappalainen,FW,fi Finland,22,1998,0.2,5,5,0,0,0,2,0,0,0,0,0,0,3,1,1,1,4,0,0,0,3,1,0,0,0,,
238,Seb Larsson,MF,se Sweden,35,1985,4.1,139,119,20,5,0,23,7,8,7,1,6,0,73,33,33,7,112,11,5,0,100,0,4,4,8,,
239,Valentino Lazaro,FWMF,at Austria,24,1996,0.2,15,13,2,0,0,2,0,1,2,0,2,0,9,3,3,1,13,0,0,1,14,0,0,0,0,,
240,Thomas Lemar,FW,fr France,25,1995,0,7,7,0,0,0,0,0,1,0,0,0,0,5,0,2,7,0,0,0,0,6,0,0,1,0,,
241,Clément Lenglet,DF,fr France,25,1995,0.5,41,41,0,0,0,3,0,0,0,0,0,0,35,6,0,32,5,3,0,0,39,0,0,0,1,,
242,Dylan Levitt,MF,wls Wales,20,2000,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
243,Robert Lewandowski,FW,pl Poland,32,1988,3,68,65,3,0,0,28,3,5,0,0,0,0,41,12,15,5,49,5,0,2,46,0,4,2,4,,
244,Philipp Lienhart,DF,at Austria,24,1996,0.6,41,38,3,3,0,1,1,1,0,0,0,0,34,5,2,8,31,2,0,0,37,0,1,0,0,,
245,Matthijs de Ligt,DFMF,nl Netherlands,21,1999,2.6,127,122,5,5,0,6,2,0,0,0,0,0,110,6,11,21,100,4,0,0,119,0,1,2,0,,
246,Victor Lindelöf,DF,se Sweden,26,1994,4.3,215,200,15,6,0,19,5,0,0,0,0,0,172,17,26,40,152,6,9,1,190,0,1,1,2,,
247,Karol Linetty,MF,pl Poland,25,1995,0.9,33,33,0,0,0,11,0,0,0,0,0,0,32,0,1,12,19,0,0,1,26,0,0,2,2,,
248,Dominik Livaković,GK,hr Croatia,26,1995,4.3,132,88,44,9,0,7,5,0,0,0,0,0,70,5,57,1,105,0,0,24,99,2,5,3,1,,
249,Marcos Llorente,DF,es Spain,26,1995,2.7,266,246,20,2,0,22,3,13,0,0,0,0,224,30,12,12,235,0,18,0,241,1,0,7,5,,
250,Hugo Lloris,GK,fr France,34,1986,4.3,108,71,37,8,0,4,2,0,0,0,0,0,56,4,48,57,24,0,0,20,87,0,1,1,0,,
251,Stanislav Lobotka,MF,sk Slovakia,26,1994,0.5,23,23,0,0,0,3,2,0,0,0,0,0,22,1,0,2,21,0,0,0,22,0,0,1,0,,
252,Manuel Locatelli,MF,it Italy,23,1998,3,139,136,3,1,1,33,4,2,0,0,0,0,108,12,19,26,101,4,2,3,123,2,0,1,0,,
253,Robin Lod,MF,fi Finland,27,1993,3,103,94,9,3,3,28,0,3,1,0,0,0,84,11,8,76,20,3,2,0,83,0,1,5,4,,
254,Dejan Lovren,DF,hr Croatia,31,1989,2,114,110,4,3,0,9,2,0,0,0,0,0,87,7,20,9,95,5,1,0,100,0,2,2,1,,
255,Gergő Lovrencsics,DFMF,hu Hungary,32,1988,1.1,43,31,12,2,0,3,3,2,0,0,0,0,16,8,19,1,29,2,10,0,28,0,2,1,2,,
256,José Luis Gayà,DF,es Spain,25,1995,0.8,50,45,5,1,0,4,2,3,0,0,0,0,42,4,4,43,3,0,4,0,46,0,0,0,0,,
257,Romelu Lukaku,FW,be Belgium,27,1993,4.9,78,70,8,0,0,18,1,3,0,0,0,0,49,16,13,32,30,6,0,3,51,1,0,8,4,,
258,Mikael Lustig,DF,se Sweden,34,1986,3.5,169,145,24,2,0,22,4,6,0,0,0,0,87,35,47,12,125,7,22,0,122,0,6,4,4,,
259,Joakim Mæhle,DF,dk Denmark,23,1997,6.3,334,277,57,7,0,50,3,15,0,0,0,0,220,68,46,42,232,7,50,2,284,1,4,10,13,,
260,Harry Maguire,DF,eng England,27,1993,5.7,367,352,15,14,0,37,12,0,0,0,0,0,295,24,48,45,299,17,1,0,334,1,6,8,1,,
261,Róbert Mak,FW,sk Slovakia,29,1991,2.6,65,58,7,2,0,15,1,1,3,0,3,0,47,8,10,6,57,0,2,0,52,0,0,0,5,,
262,Yevhen Makarenko,MF,ua Ukraine,29,1991,0.6,49,49,0,0,0,6,0,0,0,0,0,0,37,7,5,38,10,0,0,1,46,0,0,1,2,,
263,Donyell Malen,FW,nl Netherlands,22,1999,1.7,55,52,3,1,0,6,1,2,0,0,0,0,47,7,1,5,48,0,1,0,46,0,1,1,3,,
264,Ruslan Malinovskyi,MFFW,ua Ukraine,27,1993,3.2,125,114,11,3,4,22,7,1,8,4,3,0,90,12,23,108,10,2,0,1,100,0,1,5,3,,
265,Marlos,FWMF,ua Ukraine,32,1988,0.8,31,30,1,1,0,8,1,0,0,0,0,0,27,1,3,24,5,1,0,1,25,0,0,1,1,,
266,David Marshall,GK,sct Scotland,35,1985,3,115,81,34,11,0,9,6,0,0,0,0,0,39,1,75,6,90,0,0,12,68,1,4,0,0,,
267,Lukáš Masopust,FW,cz Czech Republic,27,1993,3.5,111,108,3,1,1,24,3,7,1,0,0,0,87,14,10,27,78,3,1,0,88,0,2,5,6,,
268,Mykola Matviyenko,DF,ua Ukraine,24,1996,5.3,379,374,5,5,0,32,11,1,0,0,0,0,327,14,38,316,52,8,0,1,350,1,5,4,1,,
269,Kevin Mbabu,DF,ch Switzerland,25,1995,2.4,100,79,21,2,0,18,3,6,0,0,0,0,55,26,19,14,67,0,19,0,68,1,4,6,7,,
270,Kylian Mbappé,FW,fr France,22,1998,4.3,112,107,5,0,2,22,3,9,4,3,0,0,84,15,13,26,83,0,0,3,88,0,1,1,5,,
271,John McGinn,MF,sct Scotland,26,1994,3,83,81,2,1,0,35,0,1,0,0,0,0,58,10,15,51,21,3,1,1,68,0,1,4,2,,
272,Callum McGregor,MF,sct Scotland,27,1993,2.3,90,87,3,3,0,25,1,0,0,0,0,0,77,7,6,80,9,0,0,0,84,0,1,2,1,,
273,Scott McKenna,DF,sct Scotland,24,1996,0.6,17,17,0,0,0,5,0,0,0,0,0,0,14,0,3,12,4,0,0,0,14,0,1,0,0,,
274,Scott McTominay,DFMF,sct Scotland,24,1996,3,120,111,9,8,0,31,3,2,0,0,0,0,92,14,14,8,105,3,1,0,106,0,0,3,2,,
275,Admir Mehmedi,FWMF,ch Switzerland,29,1991,0.4,25,22,3,0,0,7,1,0,0,0,0,0,17,5,3,3,15,3,3,1,20,0,0,1,2,,
276,Chris Mepham,DF,wls Wales,23,1997,3,87,86,1,1,0,8,1,0,0,0,0,0,66,5,16,4,72,7,0,1,77,0,3,0,0,,
277,Umut Meraş,DF,tr Turkey,25,1995,1.8,72,64,8,0,0,9,0,2,0,0,0,0,39,13,20,57,0,5,8,0,61,0,1,4,1,,
278,Dries Mertens,MF,be Belgium,33,1987,2,48,45,3,0,0,10,0,1,2,0,2,0,32,6,10,4,41,1,1,1,29,0,1,2,2,,
279,Thomas Meunier,DF,be Belgium,29,1991,3.7,221,187,34,2,1,19,8,8,0,0,0,0,119,43,59,16,156,12,32,0,168,0,1,8,3,,
280,Tyrone Mings,DF,eng England,27,1993,2.1,126,123,3,3,0,13,2,0,0,0,0,0,109,5,12,113,12,1,0,0,115,0,1,1,1,,
281,Aleksei Miranchuk,MFFW,ru Russia,25,1995,1.9,59,51,8,1,1,13,3,1,2,1,1,0,42,6,11,43,8,3,2,1,46,2,1,1,1,,
282,Jakub Moder,MF,pl Poland,21,1999,1,23,17,6,4,0,6,3,1,2,1,0,1,12,1,10,3,20,0,0,0,14,0,0,1,1,,
283,Luka Modrić,MF,hr Croatia,35,1985,4.3,291,266,25,14,0,42,23,2,9,2,3,1,203,36,52,21,255,10,1,3,250,4,2,8,8,,
284,Kieffer Moore,FWMF,wls Wales,28,1992,3.2,53,53,0,0,0,23,2,1,0,0,0,0,18,25,10,6,21,9,0,4,32,0,0,1,2,,
285,Álvaro Morata,FW,es Spain,28,1992,5,142,139,3,0,0,36,5,2,0,0,0,0,102,25,15,15,117,4,1,2,118,0,1,3,6,,
286,Gerard Moreno,FW,es Spain,28,1992,3.1,126,126,0,0,1,31,1,10,0,0,0,0,90,19,17,96,23,2,0,1,94,0,1,1,8,,
287,Joe Morrell,MF,wls Wales,24,1997,3.3,121,113,8,6,0,18,4,0,0,0,0,0,86,14,21,12,102,2,1,0,106,0,3,4,0,,
288,Mason Mount,MF,eng England,22,1999,5.1,184,157,27,8,2,28,6,10,12,6,4,1,130,24,30,17,161,4,2,0,149,1,4,5,7,,
289,João Moutinho,MF,pt Portugal,34,1986,1.7,111,100,11,7,0,14,1,2,4,0,2,0,85,11,15,11,97,2,0,0,98,1,2,0,4,,
290,Maksim Mukhin,MF,ru Russia,19,2001,0.6,19,19,0,0,0,5,1,1,0,0,0,0,13,2,4,2,17,0,0,0,13,0,2,0,1,,
291,Mert Müldür,DF,tr Turkey,21,1999,1.2,59,50,9,1,0,6,1,2,1,0,0,0,39,12,8,6,42,3,7,0,46,1,0,4,2,,
292,Thomas Müller,MFFW,de Germany,31,1989,3.2,149,143,6,0,1,33,2,3,0,0,0,0,108,22,19,19,114,6,4,0,113,0,3,8,6,,
293,Jamal Musiala,MFFW,de Germany,17,2003,0.1,6,5,1,0,0,0,0,1,0,0,0,0,5,1,0,0,5,0,1,0,6,0,0,0,0,,
294,Visar Musliu,DF,mk N. Macedonia,26,1994,2.9,110,106,4,3,0,17,3,0,0,0,0,0,88,11,11,23,76,6,1,0,99,0,0,1,1,,
295,Vitaliy Mykolenko,DF,ua Ukraine,21,1999,3.9,212,179,33,1,0,26,4,6,0,0,0,0,142,43,27,163,12,3,32,2,178,0,6,3,4,,
296,Ádám Nagy,MF,hu Hungary,25,1995,3,107,104,3,2,0,19,4,0,0,0,0,0,85,10,12,25,76,5,0,0,90,0,1,3,1,,
297,Loïc Nego,DFMF,hu Hungary,30,1991,2.3,63,48,15,0,0,6,0,0,0,0,0,0,42,14,7,6,38,3,15,1,51,1,0,5,1,,
298,Manuel Neuer,GK,de Germany,34,1986,4,141,125,16,2,0,7,4,0,0,0,0,0,91,12,38,21,95,3,0,19,120,0,2,1,1,,
299,Rúben Neves,MF,pt Portugal,23,1997,0.2,9,9,0,0,0,1,0,0,0,0,0,0,8,1,0,1,8,0,0,0,9,0,0,0,0,,
300,Nemanja Nikolić,FW,hu Hungary,33,1987,0.8,14,13,1,0,0,3,0,0,0,0,0,0,9,5,0,1,9,2,0,1,11,0,0,1,1,,
301,Boban Nikolov,DFMF,mk N. Macedonia,26,1994,1.3,36,28,8,1,0,6,0,0,0,0,0,0,23,10,3,6,22,1,7,0,27,0,1,0,4,,
302,Kevin Nisbet,FW,sct Scotland,23,1997,0.3,7,7,0,0,0,3,0,0,0,0,0,0,3,2,2,0,4,1,0,0,4,0,0,0,1,,
303,Christian Nørgaard,MF,dk Denmark,26,1994,1.8,100,99,1,1,0,12,1,1,0,0,0,0,78,13,9,16,77,5,0,0,90,1,0,5,0,,
304,Stephen O'Donnell,DF,sct Scotland,28,1992,2.8,109,80,29,2,0,16,4,5,0,0,0,0,52,23,34,12,65,2,27,0,74,0,1,11,3,,
305,Daniel O'Shaughnessy,DF,fi Finland,26,1994,3,151,121,30,7,0,17,8,7,0,0,0,0,90,16,45,102,24,3,17,0,115,0,3,5,1,,
306,Sérgio Oliveira,MF,pt Portugal,28,1992,0.2,25,23,2,1,0,2,2,0,0,0,0,0,13,4,8,3,20,1,1,0,18,0,1,2,3,,
307,Dani Olmo,FW,es Spain,22,1998,4.2,198,178,20,3,1,25,6,15,13,4,3,0,150,18,30,38,150,4,2,1,144,1,1,15,7,,
308,Robin Olsen,GK,se Sweden,31,1990,4.3,124,70,54,16,0,4,2,0,0,0,0,0,37,2,85,10,89,0,0,10,54,2,4,0,0,,
309,Kristoffer Olsson,MF,se Sweden,25,1995,3.7,152,152,0,0,0,16,5,2,0,0,0,0,106,18,28,22,117,11,0,1,134,0,1,0,0,,
310,Karim Onisiwo,FW,at Austria,28,1992,0.1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,,
311,Willi Orban,DF,hu Hungary,28,1992,3,88,79,9,9,0,13,3,0,0,0,0,0,68,4,16,9,75,2,0,0,75,0,1,1,1,,
312,Mislav Oršić,FW,hr Croatia,28,1992,0.6,15,15,0,0,0,2,0,3,0,0,0,0,8,4,3,2,13,0,0,0,8,0,0,0,3,,
313,Mikel Oyarzabal,FW,es Spain,23,1997,1.9,98,88,10,1,0,9,4,4,6,3,3,0,72,14,12,85,7,2,3,1,82,0,1,3,6,,
314,Magomed Ozdoyev,MF,ru Russia,28,1992,2.3,97,93,4,1,0,14,5,7,0,0,0,0,64,13,20,12,72,8,3,2,74,1,1,1,3,,
315,João Palhinha,MF,pt Portugal,25,1995,1.4,55,54,1,1,0,5,5,0,0,0,0,0,42,3,10,4,48,3,0,0,49,0,2,0,1,,
316,Emerson Palmieri,DF,it Italy,26,1994,3.2,153,120,33,3,0,15,0,1,0,0,0,0,101,35,17,111,8,4,30,0,134,1,2,2,2,,
317,Goran Pandev,FW,mk N. Macedonia,37,1983,2.8,62,54,8,0,0,26,3,0,0,0,0,0,48,12,2,39,20,1,0,0,43,1,1,5,5,,
318,Mario Pašalić,FWMF,hr Croatia,25,1995,0.5,25,24,1,0,0,5,1,0,1,0,0,0,17,5,3,7,15,1,0,1,24,0,0,0,0,,
319,Rui Patrício,GK,pt Portugal,32,1988,4,102,74,28,5,0,2,1,0,0,0,0,0,70,2,30,51,32,0,0,19,83,0,2,0,0,,
320,Nathan Patterson,DF,sct Scotland,19,2001,0.1,11,8,3,0,0,1,0,0,0,0,0,0,8,2,1,1,7,0,3,0,9,0,0,1,0,,
