,,,,,,,,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Height,Height,Height,Body Parts,Body Parts,Body Parts,Body Parts,Body Parts,,Outcomes,Outcomes,Outcomes,Outcomes,,
Rk,Player,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks,,
36,Jude Bellingham,MF,eng England,17,2003,0.6,22,22,0,0,0,8,1,0,0,0,0,0,18,2,2,4,17,1,0,0,18,0,0,1,2,,
37,Andrea Belotti,FW,it Italy,27,1993,2.4,33,28,5,0,0,16,1,1,0,0,0,0,18,10,5,3,26,2,0,0,22,0,1,4,4,,
38,László Bénes,MF,sk Slovakia,23,1997,0.2,15,13,2,0,0,0,0,1,1,0,1,0,10,2,3,12,1,1,1,0,13,0,0,0,0,,
39,Pierre Bengtsson,DFMF,se Sweden,32,1988,0.5,17,14,3,0,0,3,1,0,0,0,0,0,6,3,8,10,2,1,3,1,9,1,0,1,0,,
40,Loris Benito,DF,ch Switzerland,29,1992,0.1,6,5,1,0,0,0,0,0,0,0,0,0,2,3,1,3,0,2,1,0,3,0,0,0,1,,
41,Christian Benteke,FW,be Belgium,30,1990,0.1,5,5,0,0,0,1,0,0,0,0,0,0,5,0,0,0,5,0,0,0,4,0,0,0,0,,
42,Karim Benzema,FW,fr France,33,1987,3.8,139,129,10,0,0,25,0,3,0,0,0,0,118,16,5,17,116,4,0,1,121,1,1,6,6,,
43,Domenico Berardi,FW,it Italy,26,1994,4.2,138,130,8,2,1,37,5,6,5,3,1,0,95,25,18,117,14,3,1,2,103,1,2,5,11,,
44,Bartosz Bereszyński,DF,pl Poland,28,1992,3,206,186,20,4,0,23,4,6,0,0,0,0,146,22,38,14,163,8,16,0,166,0,2,10,4,,
45,Marcus Berg,FW,se Sweden,34,1986,2,42,42,0,0,0,15,1,0,0,0,0,0,17,12,13,6,24,7,0,1,25,0,1,0,3,,
46,Steven Berghuis,DFFW,nl Netherlands,29,1991,0.6,37,31,6,1,0,6,2,4,2,1,1,0,22,4,11,28,4,1,3,0,22,0,1,5,1,,
47,Federico Bernardeschi,FW,it Italy,26,1994,1.4,51,43,8,2,0,9,2,4,5,2,3,0,34,7,10,45,2,1,1,1,32,1,2,3,3,,
48,Artem Besyedin,FWDF,ua Ukraine,24,1996,0.4,10,10,0,0,0,2,1,0,0,0,0,0,6,2,2,1,8,0,0,0,8,0,0,0,0,,
49,Roman Bezus,MF,ua Ukraine,30,1990,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,,
50,Daley Blind,DF,nl Netherlands,30,1990,3.3,309,300,9,8,2,16,3,1,0,0,0,0,243,26,40,257,44,4,1,1,278,1,1,6,2,,
51,Nicolai Boilesen,DF,dk Denmark,28,1992,0.2,5,2,3,1,0,1,0,0,0,0,0,0,2,2,1,1,1,0,2,0,4,0,0,0,0,,
52,Leonardo Bonucci,DF,it Italy,33,1987,7.5,476,447,29,21,3,32,22,0,0,0,0,0,355,32,89,84,374,10,1,3,419,7,7,9,3,,
53,Jan Bořil,DF,cz Czech Republic,30,1991,4,188,156,32,1,1,26,5,6,0,0,0,0,100,41,47,45,99,11,30,2,146,1,5,11,4,,
54,Endre Botka,DF,hu Hungary,26,1994,3,82,76,6,6,0,10,2,0,0,0,0,0,52,11,19,5,75,2,0,0,52,0,5,7,2,,
55,Dedryck Boyata,DF,be Belgium,30,1990,2,171,169,2,2,0,7,3,0,0,0,0,0,164,5,2,21,148,1,0,0,169,0,1,0,1,,
56,Jakub Brabec,DF,cz Czech Republic,28,1992,0.3,19,18,1,1,0,3,1,0,0,0,0,0,15,1,3,3,15,0,0,0,17,0,0,1,0,,
57,Martin Braithwaite,FWMF,dk Denmark,29,1991,6.3,185,181,4,0,0,47,3,14,0,0,0,0,127,30,28,23,147,3,0,5,140,0,3,5,10,,
58,Josip Brekalo,FWDF,hr Croatia,22,1998,1.3,45,41,4,0,1,6,2,2,0,0,0,0,31,8,6,6,32,3,4,0,36,0,1,3,2,,
59,David Brooks,FWMF,wls Wales,23,1997,0.4,8,8,0,0,0,1,1,1,0,0,0,0,7,1,0,7,1,0,0,0,5,0,1,1,1,,
60,Marcelo Brozović,MF,hr Croatia,28,1992,3.1,212,209,3,3,0,32,9,0,0,0,0,0,175,14,23,38,169,4,0,0,191,1,2,4,1,,
61,Ante Budimir,MF,hr Croatia,29,1991,0.5,7,7,0,0,0,2,0,0,0,0,0,0,5,1,1,5,0,0,0,1,6,0,0,0,0,,
62,Heorhiy Bushchan,GK,ua Ukraine,26,1994,5.3,145,95,50,10,0,12,1,0,0,0,0,0,72,10,63,18,101,0,0,22,103,2,3,1,0,,
63,Sergio Busquets,MF,es Spain,32,1988,4.4,321,307,14,13,3,42,3,0,0,0,0,0,251,30,40,67,240,8,1,1,293,0,4,7,4,,
64,Jens Cajuste,MF,se Sweden,21,1999,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
